id;locale;key;value
86581;de;activemodel.attributes.initiative.decidim_user_group_id;Initiant/in
86582;de;activemodel.attributes.initiative.offline_votes_for_scope;Persönliche Interessenten für %{scope_name}
86583;de;activemodel.attributes.initiative.scope_id;Thema (noch nicht aktiv)
86584;de;activemodel.attributes.initiative.signature_end_date;Bis zu diesem Datum sollten sich Interessenten melden (kann auch leer gelassen werden)
86585;de;activemodel.attributes.initiative.signature_start_date;Beginn der Suche nach Interessenten
86586;de;activemodel.attributes.initiative.signature_type;Interessentensuche (unverändert lassen)
86587;de;activemodel.attributes.initiatives_type.area_enabled;Die Auswahl des Gebiets von Impulse für Initiant/inen freigeben
86588;de;activemodel.attributes.initiatives_type.child_scope_threshold_enabled;Interessenten von Unterbereichen aktivieren
86589;de;activemodel.attributes.initiatives_type.collect_user_extra_fields;Sammle persönliche Daten des Benutzers bei der Interessensbekundung
86590;de;activemodel.attributes.initiatives_type.custom_signature_end_date_enabled;Die Auswahl des Enddatums der Suche nach Interessenten für Initiant/inen freigeben
86591;de;activemodel.attributes.initiatives_type.online_signature_enabled;Interessensbekundung aktiviert
86592;de;activemodel.attributes.initiatives_type.only_global_scope_enabled;Nur die Erstellung globaler Impulse zulassen
86593;de;activemodel.attributes.initiatives_type.promoting_committee_enabled;Projektgruppe freigeben
86594;de;activemodel.attributes.initiatives_type.undo_online_signatures_enabled;Ermögliche Benutzern, ihre Interessensbekundung rückgängig zu machen
86595;de;activemodel.attributes.initiatives_type.validate_sms_code_on_votes;Füge der Interessensbekundung einen SMS-Validierungsschritt hinzu
86673;de;decidim.admin.actions.new_initiative_type;Neuer Impulstyp
86864;de;decidim.admin.filters.initiatives.decidim_area_id_eq.label;Gebiet
86865;de;decidim.admin.filters.initiatives.state_eq.values.accepted;Genügend Interessenten
86866;de;decidim.admin.filters.initiatives.state_eq.values.rejected;Nicht genügend Interessenten
86867;de;decidim.admin.filters.initiatives.state_eq.values.validating;Validierung ausstehend
86868;de;decidim.admin.filters.initiatives.type_id_eq.label;Initiativ-Typ
86910;de;decidim.admin.models.initiatives.fields.created_at;Erfasst am
86911;de;decidim.admin.models.initiatives.fields.id;ID Nummer
86912;de;decidim.admin.models.initiatives.fields.supports_count;Interessenten
86913;de;decidim.admin.models.initiatives.fields.title;Impulse
86914;de;decidim.admin.models.initiatives_type_scope.fields.scope;Thema (noch nicht aktiv)
86915;de;decidim.admin.models.initiatives_type_scope.name;Typ des Impulses
86916;de;decidim.admin.models.initiatives_types.fields.created_at;Erfasst am
86917;de;decidim.admin.models.initiatives_types.fields.title;Impuls-Arten
86918;de;decidim.admin.models.initiatives_types.name;Initiativ-Typ
86919;de;decidim.admin.models.initiatives_votes.fields.initiative_end_date;Ende
86920;de;decidim.admin.models.initiatives_votes.fields.initiative_signatures_count;Anzahl der Interessenten
86921;de;decidim.admin.models.initiatives_votes.fields.initiative_start_date;Beginn
86922;de;decidim.admin.models.initiatives_votes.fields.initiative_title;Titel des Impulses
86707;de;decidim.admin.models.initiatives_votes.fields.scope;Thema (noch nicht aktiv)
86970;de;decidim.admin.titles.initiatives;Impulse
86971;de;decidim.admin.titles.initiatives_types;Impuls-Arten
87068;de;decidim.components.component_order_selector.order.initiative;Impuls
87371;de;decidim.events.initiatives.admin.initiative_sent_to_technical_validation.email_intro;"Der Impuls ""%{resource_title}"" wurde zur Validierung eingereicht. Über das <a href=""%{admin_initiative_url}"">Admin-Panel</a> kannst du ihn aufrufen"
87372;de;decidim.events.initiatives.admin.initiative_sent_to_technical_validation.email_outro;Du hast diese Benachrichtigung erhalten, weil du ein Administrator der Plattform bist.
87373;de;decidim.events.initiatives.admin.initiative_sent_to_technical_validation.email_subject;"Der Impuls ""%{resource_title}"" wurde zur Validierung eingereicht."
87374;de;decidim.events.initiatives.admin.initiative_sent_to_technical_validation.notification_title;"Der Impuls ""%{resource_title}"" wurde zur Validierung eingereicht. Über das <a href=""%{admin_initiative_path}"">Admin-Panel</a> kannst du ihn aufrufen"
87375;de;decidim.events.initiatives.initiative_extended.email_intro;Das Enddatum der Suche nach Interessenten für den Impuls %{resource_title} wurde verlängert!
87376;de;decidim.events.initiatives.initiative_extended.email_outro;Du hast diese Benachrichtigung erhalten, weil du %{resource_title} folgst. Falls du keine solchen Benachrichtigungen mehr erhalten möchtest, kannst du das in deinem Profil einstellen.
87377;de;decidim.events.initiatives.initiative_extended.email_subject;Enddatum der Suche nach Interessenten verlängert!
87378;de;decidim.events.initiatives.initiative_extended.notification_title;"Das Enddatum der Suche nach Interessenten für den Impuls <a href=""%{resource_path}"">%{resource_title}</a> wurde verlängert."
87379;de;decidim.events.initiatives.initiative_sent_to_technical_validation.email_intro;"Der Impuls „%{resource_title}“ wurde zur Validierung eingereicht. Über das <a href=""%{admin_initiative_url}"">Admin-Panel</a> kannst du ihn aufrufen"
87380;de;decidim.events.initiatives.initiative_sent_to_technical_validation.email_outro;Du hast diese Benachrichtigung erhalten, weil du ein Administrator der Plattform bist.
87381;de;decidim.events.initiatives.initiative_sent_to_technical_validation.email_subject;"Der Impuls ""%{resource_title}"" wurde zur Validierung eingereicht."
87382;de;decidim.events.initiatives.initiative_sent_to_technical_validation.notification_title;"Der Impuls ""%{resource_title}"" wurde zur Validierung eingereicht. Über das <a href=""%{admin_initiative_path}"">Admin-Panel</a> kannst du ihn aufrufen"
87383;de;decidim.events.initiatives.milestone_completed.affected_user.email_intro;Dein Impuls %{resource_title} hat %{percentage}% der Interessenten erreicht!
87384;de;decidim.events.initiatives.milestone_completed.affected_user.email_outro;Du hast diese Benachrichtigung erhalten, weil du Initiant/in des Impulses %{resource_title} bist
87385;de;decidim.events.initiatives.milestone_completed.affected_user.notification_title;"Dein Impuls <a href=""%{resource_path}"">%{resource_title}</a> hat %{percentage}% der Interessenten erreicht."
87386;de;decidim.events.initiatives.milestone_completed.follower.email_intro;Der Impuls %{resource_title} hat %{percentage}% der Interessenten erreicht!
87387;de;decidim.events.initiatives.milestone_completed.follower.email_outro;Du hast diese Benachrichtigung erhalten, weil du %{resource_title} folgst. Falls du keine solchen Benachrichtigungen mehr erhalten möchtest, kannst du das in deinem Profil einstellen.
87388;de;decidim.events.initiatives.milestone_completed.follower.notification_title;"Der Impuls <a href=""%{resource_path}"">%{resource_title}</a> hat %{percentage}% der Interessenten erreicht."
87389;de;decidim.events.initiatives.support_threshold_reached.email_outro;Du hast diese Benachrichtigung erhalten, weil du ein Administrator der Plattform bist.
87390;de;decidim.events.initiatives.support_threshold_reached.email_subject;Der Impuls %{resource_title} hat die Mindestanzahl an Interessenten erreicht
87391;de;decidim.events.initiatives.support_threshold_reached.notification_title;"Der Impuls <a href=""%{resource_path}"">%{resource_title}</a> hat die Mindestanzahl an Interessenten erreicht"
87571;de;decidim.gamification.badges.initiatives.description;Dieses Abzeichen wird gewährt, wenn du neue Impulse startest und mit anderen zusammenarbeitest, um aktiv zu werden.
87572;de;decidim.gamification.badges.initiatives.description_another;Diese/r Benutzer/in hat %{score} Impulse veröffentlicht.
87573;de;decidim.gamification.badges.initiatives.description_own;Du hast %{score} Impulse veröffentlicht.
87574;de;decidim.gamification.badges.initiatives.name;Veröffentlichte Impulse
87575;de;decidim.gamification.badges.initiatives.next_level_in;Starte %{score} weitere Impulse, um das nächste Level zu erreichen!
87576;de;decidim.gamification.badges.initiatives.unearned_another;Diese/r Benutzer/in hat noch keinen Impuls veröffentlicht.
87577;de;decidim.gamification.badges.initiatives.unearned_own;Du hast noch keinen Impuls gestartet.
87616;de;decidim.help.participatory_spaces.initiatives.contextual;<p>Ein Impuls ist eine Idee, die von Privatpersonen aus eigener Initiative für die Organisation zur Durchführung einer bestimmten Aktion genutzt werden kann. </p> <p>Die Initiatoren eines Impulses können ihre Ziele festlegen, Interessenten suchen, diskutieren und Treffpunkte definieren, an denen die Ideen weiterentwickelt werden.</p> <p>
