id;locale;key;value
181174;de;decidim.components.navigation_maps.name;Navigationskarten
181176;de;decidim.navigation_maps.admin.areas.create.error;Beim Erstellen des Bereichs ist ein Fehler aufgetreten.
181178;de;decidim.navigation_maps.admin.areas.create.success;Bereich erfolgreich erstellt.
181180;de;decidim.navigation_maps.admin.areas.form.no_popup;Kein Popup verwenden. Verlinke den Bereich direkt.
181182;de;decidim.navigation_maps.admin.areas.new.area;Neue Bereichsdetails
181184;de;decidim.navigation_maps.admin.areas.new.cancel;Abbrechen
181186;de;decidim.navigation_maps.admin.areas.new.save;Speichern
181188;de;decidim.navigation_maps.admin.areas.show.area;Bereichsdetails
181190;de;decidim.navigation_maps.admin.areas.show.cancel;Abbrechen
181192;de;decidim.navigation_maps.admin.areas.show.link_suggestions;Tipp: Nutze %{map}, um andere Register zu verlinken.
181194;de;decidim.navigation_maps.admin.areas.show.save;Speichern
181196;de;decidim.navigation_maps.admin.areas.update.error;Beim Speichern des Bereichs ist ein Fehler aufgetreten.
181198;de;decidim.navigation_maps.admin.areas.update.success;Bereich erfolgreich gespeichert.
181200;de;decidim.navigation_maps.content_blocks.name;Navigationskarten
181202;de;decidim.navigation_maps.content_blocks.navigation_map.view;Mitmachen
181204;de;decidim.navigation_maps.content_blocks.navigation_map_settings_form.add;Hinzufügen
181206;de;decidim.navigation_maps.content_blocks.navigation_map_settings_form.autohide_tabs;Register-Navigation ausblenden, wenn nur eine Karte vorhanden ist
181208;de;decidim.navigation_maps.content_blocks.navigation_map_settings_form.blueprint_image;Planbild
181210;de;decidim.navigation_maps.content_blocks.navigation_map_settings_form.description;Beschreibung
181212;de;decidim.navigation_maps.content_blocks.navigation_map_settings_form.editor;Karten-Editor
181214;de;decidim.navigation_maps.content_blocks.navigation_map_settings_form.height;Höhe (px)
181216;de;decidim.navigation_maps.content_blocks.navigation_map_settings_form.id;ID
181218;de;decidim.navigation_maps.content_blocks.navigation_map_settings_form.image_missing;Bitte füge ein Planbild hinzu, um zu starten.
181220;de;decidim.navigation_maps.content_blocks.navigation_map_settings_form.info;Allgemeine Angaben
181222;de;decidim.navigation_maps.content_blocks.navigation_map_settings_form.link;Link
181224;de;decidim.navigation_maps.content_blocks.navigation_map_settings_form.remove_blueprint;Diesen Plan löschen
181226;de;decidim.navigation_maps.content_blocks.navigation_map_settings_form.title;Titel
181228;de;decidim.navigation_maps.content_blocks.navigation_map_settings_form.type;Typ
181230;de;decidim.navigation_maps.content_blocks.navigation_map_settings_form.upload_image;Bild hochladen
181232;de;decidim.navigation_maps.create.error;Beim Erstellen des Plans ist ein Fehler aufgetreten.
181234;de;decidim.navigation_maps.create.success;Plan erfolgreich erstellt.
