id;locale;key;value
180697;en;activemodel.attributes.questionnaire_question.mandatory;Mandatory
180698;de;activemodel.attributes.questionnaire_question.mandatory;Diese Frage muss zwingend beantwortet werden
180699;en;activemodel.attributes.questionnaire_question.max_characters;Character limit (leave to 0 if no limit)
180700;de;activemodel.attributes.questionnaire_question.max_characters;Maximale Zeichenanzahl in der Antwort (0 bedeutet kein Limit)
180701;en;activemodel.errors.models.questionnaire.request_invalid;There was an error handling the request. Please try again.
180702;de;activemodel.errors.models.questionnaire.request_invalid;Bei der Bearbeitung der Anfrage ist ein Fehler aufgetreten. Bitte versuche es nochmal.
180703;en;decidim.components.surveys.settings.global.announcement;Announcement
180704;de;decidim.components.surveys.settings.global.announcement;Ankündigung (kommt oberhalb des Textes in einem blauen Balken zu stehen)
180705;en;decidim.components.surveys.settings.global.clean_after_publish;Delete answers when publishing the survey
180706;de;decidim.components.surveys.settings.global.clean_after_publish;Antworten bei Veröffentlichung des Fragebogens löschen (nicht empfohlen)
180707;en;decidim.components.surveys.settings.global.ends_at;Answers accepted until
180708;de;decidim.components.surveys.settings.global.ends_at;Ende der Umfrage (die Umfrage wird an diesem Datum automatisch geschlossen)
180709;en;decidim.components.surveys.settings.global.scope_id;Scope
180710;de;decidim.components.surveys.settings.global.scope_id;Thema
180711;en;decidim.components.surveys.settings.global.scopes_enabled;Scopes enabled
180712;de;decidim.components.surveys.settings.global.scopes_enabled;Ich möchte die Umfrage einem Thema zuordnen.
180713;en;decidim.components.surveys.settings.global.starts_at;Answers accepted from
180714;de;decidim.components.surveys.settings.global.starts_at;Beginn der Umfrage
180715;en;decidim.components.surveys.settings.step.allow_answers;Allow answers
180716;de;decidim.components.surveys.settings.step.allow_answers;Den Fragebogen in dieser Projekt-Phase öffnen
180717;en;decidim.components.surveys.settings.step.allow_unregistered_help;"If active, no login will be required in order to answer the survey. This may lead to poor or unreliable data and it will be more vulnerable to automated attacks. Use with caution! Mind that a participant could answer the same survey multiple times, by using different browsers or the ""private browsing"" feature of her web browser."
180718;de;decidim.components.surveys.settings.step.allow_unregistered_help;Wenn diese Option aktiviert ist, ist keine Anmeldung nötig, um den Fragebogen zu beantworten. Das kann zu schlechten oder unzuverlässigen Daten führen und die Umfrage ist anfälliger für automatisierte Angriffe. Nutze die Option nur mit Bedacht! Beachte: Eine Person kann denselben Fragebogen mehrfach ausfüllen, etwa mit verschiedenen Browsern oder dem «privaten Modus».
