id;locale;key;value
87054;de;decidim.components.awesome_iframe.settings.global.iframe_help;"Gib deinen Code als html: <iframe width=""100%"" height=""700"" frameBorder=""0"" allowFullscreen src=""...""></iframe> ein. Andere HTML-Tags werden vom Inhalt entfernt. Stell sicher, dass du 100% als Breite/width verwendest, um gesamten Platz zu füllen."
87055;de;decidim.components.awesome_map.settings.global.map_center_help;Verwende Dezimalpunkte (z. B. 41.38879, 2.15899). Lass das Feld leer, um alle Markierungen automatisch einzupassen
;de;decidim.decidim_awesome.account.timezone_select.time_zone_helper;Verwende deine eigene Zeitzone, um die Daten in deiner Ortszeit anzuzeigen, wenn du angemeldet bist.
;de;decidim.decidim_awesome.admin.admin_accountability.exports.notice;Der Exportauftrag wurde in die Warteschlange gestellt. Du erhältst eine E-Mail, wenn er fertig ist.
;de;decidim.decidim_awesome.admin.admin_authorizations.conflict_help_html;"Du musst den Konflikt mit dem Benutzer %{user} lösen, bevor du den Benutzer mit dieser Berechtigung autorisieren können.
<br><br>
Ein Verifizierungskonflikt tritt auf, wenn ein anderer Benutzer die gleichen Daten hat wie der Benutzer, den du autorisieren möchten. 
Du kannst diesen Konflikt lösen, indem du die widersprüchliche Autorisierung des anderen Benutzers entfernen oder andere Daten für diesen Benutzer verwenden."
;de;decidim.decidim_awesome.admin.admin_authorizations.edit.force_verification_help;Überprüfung ist fehlgeschlagen, aber Du kannst sie erzwingen, wenn du sicher sind, dass der Benutzer diese Berechtigung hat.
83203;de;decidim.decidim_awesome.admin.checks.index.decidim-assemblies;Vom Organisations-Modul
87186;de;decidim.decidim_awesome.admin.checks.index.decidim-proposals;Decidim-proposals
;de;decidim.decidim_awesome.admin.checks.index.errors.CSS;"Der ""Head"" enthält nicht die erforderlichen <link> Stylesheet-Einträge. Zur Lösung du kannst sie manuell zu deiner benutzerdefinierten _head.html.erb-Datei hinzufügen"
;de;decidim.decidim_awesome.admin.checks.index.errors.JavaScript;"Der ""Head"" enthält nicht die erforderlichen <script> Javascript-Einträge. Zur Lösung du kannst sie manuell zu deiner benutzerdefinierten admin/_header.html.erb-Datei hinzufügen"
;de;decidim.decidim_awesome.admin.config.form.help.hashcash_i18n_key;Du kannst den Text, der den Benutzenden in den Anmelde-Buttons angezeigt wird, mit folgendem i18n-Key anpassen: %{key}
87163;de;decidim.decidim_awesome.admin.config.form.help.proposal_custom_fields;Create custom proposal fields that applies only in certain parts of the public web (use the restrictions editor for that)
87187;de;decidim.decidim_awesome.admin.config.form.help.proposal_custom_fields_example;"Data is stored in a XML object using compatible HTML attributes (dl,dt,dd elements) replacing the ""body"" in a normal proposal."
87190;de;decidim.decidim_awesome.admin.config.form.help.proposal_custom_fields_translations;"Labels, help text, placeholders and default values can use your application custom translations. 
For that, instead of using a string literal, use the i18n key (it must containt at least one dot).
For instance:
- ""activemodel.attributes.proposal.title"" instead of ""Title""
- ""activemodel.attributes.proposal.address"" instead of ""Address""
Or use your own keys in combination with other tools to define translations (eg: using the module Term Customizer):
 - ""myapp.custom_fields.bio"" instead of ""Biography"""
