id;locale;key;value
86604;de;activemodel.attributes.participatory_process.announcement;Ankündigung (kommt oberhalb des Textes in einem blauen Balken zu stehen)
86605;de;activemodel.attributes.participatory_process.area_id;Gebiet
86606;de;activemodel.attributes.participatory_process.decidim_area_id;Gebiet
86607;de;activemodel.attributes.participatory_process.developer_group;Weiteres
86608;de;activemodel.attributes.participatory_process.hashtag;Hashtag (führt auf Twitter)
86609;de;activemodel.attributes.participatory_process.hero_image;Hauptbild (kommt in der Projektübersicht in die Kachel)
88278;de;activemodel.attributes.participatory_process.local_area;Kontaktperson
88283;de;activemodel.attributes.participatory_process.meta_scope;Projektwebsite
88289;de;activemodel.attributes.participatory_process.participatory_scope;Stichworte
88295;de;activemodel.attributes.participatory_process.participatory_structure;Organisation, Bereich
86614;de;activemodel.attributes.participatory_process.related_process_ids;Dazugehörige Projekte
86615;de;activemodel.attributes.participatory_process.scope_id;Themenbereich
86616;de;activemodel.attributes.participatory_process.scope_type_max_depth_id;Thema-Filtertiefe
86617;de;activemodel.attributes.participatory_process.scopes_enabled;Ich möchte meine Organisation einem Thema zuordnen
86618;de;activemodel.attributes.participatory_process.short_description;Einleitung / Lead (grösser und fetter als Beschreibung)
86619;de;activemodel.attributes.participatory_process.slug;URL-Block (ein Wort, das im Link zu stehen kommen soll).
86620;de;activemodel.attributes.participatory_process.subtitle;Untertitel / Slogan
88301;de;activemodel.attributes.participatory_process.target;Zielgruppe
86622;de;activemodel.attributes.participatory_process.title;Name des Projekts
86623;de;activemodel.attributes.participatory_process.weight;Gewicht (0 stehen lassen)
88307;de;activemodel.attributes.participatory_process_group.developer_group;Gruppe der Unterstützer
86624;de;activemodel.attributes.participatory_process_group.hashtag;Hashtag (führt auf Twitter)
88279;de;activemodel.attributes.participatory_process_group.local_area;Kontaktperson
88284;de;activemodel.attributes.participatory_process_group.meta_scope;Projektwebsite
86626;de;activemodel.attributes.participatory_process_group.participatory_process_ids;Dazugehörige Projekte (mit CTRL+Klick wieder abwählen)
88290;de;activemodel.attributes.participatory_process_group.participatory_scope;Stichworte
88296;de;activemodel.attributes.participatory_process_group.participatory_structure;Organisation, Bereich
88302;de;activemodel.attributes.participatory_process_group.target;Zielgruppe
